dish_name,ingredients,diet,category
Tangy Pasta,"butter, onion, potato",veg,"dessert, main course, snack"
Smoky Curry,"cucumber, onion, butter, spinach, carrot",veg,dessert
Spicy Stew,"pork, egg, tomato, rice, lettuce",non-veg,"main course, beverage"
Savory Salad,"cucumber, rice, butter, paneer",veg,"dessert, main course"
Creamy Pasta,"fish, mutton, rice",non-veg,breakfast
Sweet Curry,"butter, spinach",veg,dessert
Creamy Soup,"butter, lettuce, potato, onion",veg,snack
Smoky Curry,"chicken, carrot, banana, cucumber",non-veg,"snack, dessert, main course"
Zesty Rice,"flour, lettuce, banana",veg,"dessert, breakfast"
Creamy Stew,"lettuce, potato, butter, banana, tomato",veg,"beverage, main course"
Zesty Curry,"beef, rice, lettuce",non-veg,"beverage, snack, breakfast"
Zesty Sandwich,"spinach, rice, carrot, flour",veg,"dessert, breakfast, snack"
Creamy Pasta,"lettuce, spinach",veg,main course
Smoky Stew,"cucumber, carrot, flour",veg,"dessert, snack"
Zesty Sandwich,"egg, chicken, cucumber",non-veg,main course
Creamy Pasta,"egg, lettuce",non-veg,"beverage, dessert, breakfast"
Creamy Salad,"beef, paneer, lettuce, onion",non-veg,"beverage, main course, breakfast"
Crispy Rice,"cucumber, flour, tomato",veg,"beverage, main course, dessert"
Smoky Stew,"pork, fish, paneer, tomato",non-veg,beverage
Smoky Soup,"cucumber, carrot, spinach, onion, flour",veg,"snack, dessert"
Sweet Burger,"fish, rice",non-veg,"main course, breakfast"
Tangy Stew,"egg, rice",non-veg,main course
Smoky Sandwich,"beef, pork, onion, banana",non-veg,main course
Zesty Burger,"beef, rice",non-veg,"main course, dessert, snack"
Smoky Sandwich,"cucumber, lettuce, flour, carrot",veg,"snack, main course"
Smoky Salad,"fish, mutton, banana, carrot, tomato",non-veg,"dessert, snack, beverage"
Creamy Burger,"beef, egg, lettuce, paneer, flour",non-veg,"dessert, beverage, snack"
Savory Soup,"butter, onion",veg,"beverage, dessert"
Smoky Burger,"carrot, flour",veg,"dessert, breakfast"
Tangy Sandwich,"egg, butter, potato",non-veg,breakfast
Creamy Soup,"fish, pork, banana, spinach",non-veg,"main course, beverage"
Savory Salad,"pork, mutton, rice, carrot, potato",non-veg,"dessert, main course"
Sweet Burger,"cucumber, lettuce, banana, rice",veg,main course
Smoky Stew,"paneer, carrot, cucumber, flour",veg,"beverage, breakfast, main course"
Zesty Pasta,"banana, flour, rice, lettuce",veg,"main course, snack, dessert"
Savory Stew,"tomato, rice, banana, lettuce",veg,main course
Savory Pasta,"flour, rice, cucumber, butter, carrot",veg,"beverage, dessert"
Tangy Soup,"lettuce, potato, banana, cucumber, rice",veg,"main course, beverage, snack"
Savory Burger,"paneer, rice, banana",veg,main course
Zesty Burger,"mutton, butter, potato, paneer",non-veg,"snack, beverage"
Spicy Curry,"spinach, rice, onion",veg,dessert
Zesty Pasta,"spinach, tomato, butter, onion, potato",veg,"breakfast, snack"
Smoky Curry,"lettuce, carrot, potato, spinach",veg,main course
Savory Curry,"pork, fish, rice, tomato, butter",non-veg,breakfast
Creamy Pasta,"carrot, banana, butter, paneer, flour",veg,"breakfast, beverage, snack"
Sweet Sandwich,"tomato, spinach, lettuce",veg,beverage
Zesty Soup,"flour, rice",veg,main course
Savory Curry,"chicken, rice, tomato, cucumber",non-veg,"snack, beverage, main course"
Zesty Stew,"carrot, lettuce, paneer",veg,"main course, beverage"
Sweet Salad,"cucumber, rice, flour, onion",veg,snack
Savory Stew,"mutton, banana, potato",non-veg,"main course, beverage"
Creamy Pasta,"rice, banana, paneer, flour",veg,"snack, main course, dessert"
Smoky Stew,"carrot, paneer, spinach, banana, rice",veg,breakfast
Creamy Soup,"beef, chicken, banana, lettuce, carrot",non-veg,"snack, main course"
Savory Salad,"butter, flour, tomato, lettuce, spinach",veg,"breakfast, main course"
Crispy Soup,"chicken, cucumber, lettuce",non-veg,"main course, dessert"
Savory Rice,"beef, mutton, rice, banana, onion",non-veg,"snack, main course, dessert"
Sweet Soup,"mutton, carrot, paneer, spinach",non-veg,snack
Tangy Curry,"fish, paneer, spinach, banana",non-veg,"dessert, breakfast"
Creamy Sandwich,"onion, cucumber, tomato",veg,snack
Spicy Stew,"carrot, onion",veg,"snack, breakfast, beverage"
Crispy Salad,"fish, paneer",non-veg,snack
Tangy Curry,"mutton, fish, tomato, potato",non-veg,breakfast
Spicy Soup,"banana, paneer, onion",veg,beverage
Savory Sandwich,"carrot, rice, flour, spinach",veg,"main course, beverage, dessert"
Sweet Salad,"fish, mutton, spinach",non-veg,"main course, breakfast"
Sweet Pasta,"fish, tomato, rice",non-veg,breakfast
Sweet Salad,"butter, onion, paneer, carrot",veg,breakfast
Creamy Pasta,"chicken, mutton, paneer, onion, butter",non-veg,snack
Zesty Burger,"cucumber, banana",veg,breakfast
Creamy Burger,"onion, potato",veg,"dessert, beverage, breakfast"
Creamy Burger,"butter, rice, cucumber, paneer, lettuce",veg,dessert
Smoky Salad,"cucumber, flour, butter, potato",veg,"snack, beverage, dessert"
Spicy Rice,"potato, paneer, cucumber, rice, spinach",veg,snack
Tangy Sandwich,"egg, onion, cucumber",non-veg,"dessert, beverage, breakfast"
Zesty Salad,"pork, beef, cucumber, paneer, flour",non-veg,"breakfast, dessert"
Zesty Rice,"fish, chicken, rice",non-veg,"dessert, beverage"
Zesty Stew,"beef, rice, butter, cucumber",non-veg,"breakfast, snack"
Sweet Burger,"egg, onion",non-veg,"dessert, main course, snack"
Crispy Stew,"lettuce, spinach, paneer",veg,"main course, dessert"
Creamy Soup,"butter, potato, lettuce, banana, cucumber",veg,dessert
Spicy Curry,"egg, fish, banana, tomato",non-veg,"dessert, main course"
Spicy Curry,"banana, tomato",veg,"beverage, breakfast"
Sweet Salad,"beef, butter",non-veg,beverage
Zesty Stew,"spinach, paneer, cucumber, banana, potato",veg,breakfast
Savory Stew,"pork, potato, onion, butter",non-veg,"main course, beverage"
Savory Burger,"mutton, beef, rice",non-veg,"breakfast, dessert"
Creamy Stew,"banana, carrot, butter",veg,"beverage, snack"
Savory Pasta,"flour, tomato, spinach, onion",veg,beverage
Creamy Pasta,"potato, onion",veg,"breakfast, dessert, main course"
Creamy Rice,"paneer, cucumber",veg,dessert
