Recipe_Name,Ingredients,Label,Category,Recipe Steps,Nutrition Facts
Egg Roll,"egg, paneer, mushroom",Non-Veg,snack,"1. Gather all ingredients: egg, paneer, mushroom. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Palak Paneer,"rice, corn, tomato, spinach",Veg,supper,"1. Gather all ingredients: rice, corn, tomato, spinach. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Veg Club Sandwich,"lettuce, tomato, cheese, bread, cucumber",Veg,appetizer,"1. Gather all ingredients: lettuce, tomato, cheese, bread, cucumber. 2. Prepare the ingredients for veg club sandwich (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Butter Chicken,"fish, cauliflower, paneer, capsicum",Non-Veg,"dinner, main course, supper","1. Gather all ingredients: fish, cauliflower, paneer, capsicum. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dhokla,"carrot, lentils, broccoli",Veg,supper,"1. Gather all ingredients: carrot, lentils, broccoli. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chole Bhature,"cauliflower, carrot, onion",Veg,"main course, appetizer, dinner","1. Gather all ingredients: cauliflower, carrot, onion. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Poha,"peas, mushroom, cauliflower, cheese, spinach",Veg,"breakfast, side dish, appetizer","1. Gather all ingredients: peas, mushroom, cauliflower, cheese, spinach. 2. Prepare the ingredients for poha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Roll,"chicken, roti, mayo, onion, lettuce",Non-Veg,lunch,"1. Gather all ingredients: chicken, roti, mayo, onion, lettuce. 2. Prepare the ingredients for chicken roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Methi Paratha,"corn, mushroom, potato",Veg,"supper, snack, appetizer","1. Gather all ingredients: corn, mushroom, potato. 2. Prepare the ingredients for methi paratha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chana Masala,"beans, potato, peas, broccoli",Veg,"appetizer, dinner, brunch","1. Gather all ingredients: beans, potato, peas, broccoli. 2. Prepare the ingredients for chana masala (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Pakora,"beetroot, cheese, rice, onion, mushroom",Veg,"breakfast, appetizer, brunch","1. Gather all ingredients: beetroot, cheese, rice, onion, mushroom. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mutton Rogan Josh,"turkey, chicken, beans, carrot, cheese",Non-Veg,"breakfast, brunch","1. Gather all ingredients: turkey, chicken, beans, carrot, cheese. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Paneer Tikka,"cauliflower, potato, peas, rice",Veg,"lunch, supper","1. Gather all ingredients: cauliflower, potato, peas, rice. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Tandoori Chicken,"mutton, peas, cauliflower, cheese",Non-Veg,"lunch, brunch","1. Gather all ingredients: mutton, peas, cauliflower, cheese. 2. Prepare the ingredients for tandoori chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Bhurji,"prawns, spinach, broccoli, beans",Non-Veg,breakfast,"1. Gather all ingredients: prawns, spinach, broccoli, beans. 2. Prepare the ingredients for egg bhurji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Curry,"fish, broccoli, cauliflower, beetroot",Non-Veg,lunch,"1. Gather all ingredients: fish, broccoli, cauliflower, beetroot. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Idli Sambar,"lentils, tomato, carrot, potato",Veg,"side dish, snack, main course","1. Gather all ingredients: lentils, tomato, carrot, potato. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Idli Sambar,"carrot, broccoli, lentils",Veg,"snack, appetizer, lunch","1. Gather all ingredients: carrot, broccoli, lentils. 2. Prepare the ingredients for idli sambar (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Chicken Korma,"prawns, spinach, corn, lentils",Non-Veg,brunch,"1. Gather all ingredients: prawns, spinach, corn, lentils. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Curry,"beef, salami, beetroot, beans",Non-Veg,"dinner, main course","1. Gather all ingredients: beef, salami, beetroot, beans. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Curry,"salami, bacon, capsicum, broccoli, beetroot",Non-Veg,"dinner, appetizer, supper","1. Gather all ingredients: salami, bacon, capsicum, broccoli, beetroot. 2. Prepare the ingredients for egg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Tikka,"egg, rice, lentils",Non-Veg,"dinner, appetizer","1. Gather all ingredients: egg, rice, lentils. 2. Prepare the ingredients for chicken tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Kathi Roll,"bacon, potato, lentils",Non-Veg,"side dish, main course, snack","1. Gather all ingredients: bacon, potato, lentils. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Samosa,"beetroot, broccoli, tomato, rice, onion",Veg,snack,"1. Gather all ingredients: beetroot, broccoli, tomato, rice, onion. 2. Prepare the ingredients for samosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mix Veg Curry,"cauliflower, broccoli, cheese, capsicum, lentils",Veg,"dinner, appetizer, lunch","1. Gather all ingredients: cauliflower, broccoli, cheese, capsicum, lentils. 2. Prepare the ingredients for mix veg curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Korma,"fish, chicken, beetroot, carrot",Non-Veg,"snack, breakfast, supper","1. Gather all ingredients: fish, chicken, beetroot, carrot. 2. Prepare the ingredients for chicken korma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dal Tadka,"carrot, cauliflower, peas",Veg,"breakfast, dinner, appetizer","1. Gather all ingredients: carrot, cauliflower, peas. 2. Prepare the ingredients for dal tadka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Samosa,"capsicum, beetroot, broccoli, mushroom, rice",Veg,"lunch, side dish, dinner","1. Gather all ingredients: capsicum, beetroot, broccoli, mushroom, rice. 2. Prepare the ingredients for samosa (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Mutton Biryani,"beef, salami, carrot, lentils",Non-Veg,"brunch, lunch, snack","1. Gather all ingredients: beef, salami, carrot, lentils. 2. Prepare the ingredients for mutton biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Butter Chicken,"mutton, anchovy, peas, lentils",Non-Veg,"brunch, dinner","1. Gather all ingredients: mutton, anchovy, peas, lentils. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Fry,"mutton, rice, carrot, capsicum",Non-Veg,"appetizer, lunch","1. Gather all ingredients: mutton, rice, carrot, capsicum. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Fish Curry,"salami, prawns, peas, beans",Non-Veg,"breakfast, brunch","1. Gather all ingredients: salami, prawns, peas, beans. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Kathi Roll,"prawns, corn, broccoli, mushroom",Non-Veg,"snack, breakfast, main course","1. Gather all ingredients: prawns, corn, broccoli, mushroom. 2. Prepare the ingredients for kathi roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chicken Biryani,"turkey, prawns, spinach, beans, cheese",Non-Veg,"breakfast, appetizer, supper","1. Gather all ingredients: turkey, prawns, spinach, beans, cheese. 2. Prepare the ingredients for chicken biryani (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Fish Fry,"chicken, broccoli, rice",Non-Veg,appetizer,"1. Gather all ingredients: chicken, broccoli, rice. 2. Prepare the ingredients for fish fry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Kadhi Chawal,"corn, spinach, onion, potato",Veg,"lunch, brunch, snack","1. Gather all ingredients: corn, spinach, onion, potato. 2. Prepare the ingredients for kadhi chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Palak Paneer,"corn, onion, beetroot, capsicum",Veg,"dinner, snack","1. Gather all ingredients: corn, onion, beetroot, capsicum. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Egg Roll,"beef, turkey, corn, onion",Non-Veg,breakfast,"1. Gather all ingredients: beef, turkey, corn, onion. 2. Prepare the ingredients for egg roll (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Upma,"spinach, onion, beetroot, capsicum",Veg,main course,"1. Gather all ingredients: spinach, onion, beetroot, capsicum. 2. Prepare the ingredients for upma (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Rogan Josh,"prawns, mutton, paneer, potato, beans",Non-Veg,brunch,"1. Gather all ingredients: prawns, mutton, paneer, potato, beans. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Kadhi Chawal,"tomato, capsicum, corn, peas",Veg,"main course, side dish","1. Gather all ingredients: tomato, capsicum, corn, peas. 2. Prepare the ingredients for kadhi chawal (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Pav Bhaji,"carrot, cauliflower, capsicum, cheese, paneer",Veg,breakfast,"1. Gather all ingredients: carrot, cauliflower, capsicum, cheese, paneer. 2. Prepare the ingredients for pav bhaji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Pakora,"spinach, lentils, broccoli, tomato, beans",Veg,"main course, appetizer","1. Gather all ingredients: spinach, lentils, broccoli, tomato, beans. 2. Prepare the ingredients for pakora (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Keema Pav,"mutton, rice, cauliflower",Non-Veg,"dinner, snack","1. Gather all ingredients: mutton, rice, cauliflower. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Aloo Tikki,"cheese, beans, beetroot, potato",Veg,"lunch, supper, breakfast","1. Gather all ingredients: cheese, beans, beetroot, potato. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Dhokla,"carrot, potato, mushroom, cauliflower",Veg,"brunch, lunch","1. Gather all ingredients: carrot, potato, mushroom, cauliflower. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Tikka,"corn, paneer, rice",Veg,"snack, supper","1. Gather all ingredients: corn, paneer, rice. 2. Prepare the ingredients for paneer tikka (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Aloo Tikki,"beetroot, corn, lentils, peas",Veg,"main course, snack, breakfast","1. Gather all ingredients: beetroot, corn, lentils, peas. 2. Prepare the ingredients for aloo tikki (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Mutton Rogan Josh,"egg, peas, cauliflower",Non-Veg,lunch,"1. Gather all ingredients: egg, peas, cauliflower. 2. Prepare the ingredients for mutton rogan josh (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Pav Bhaji,"potato, peas, tomato",Veg,"side dish, brunch, dinner","1. Gather all ingredients: potato, peas, tomato. 2. Prepare the ingredients for pav bhaji (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Curry,"fish, mushroom, beans, paneer",Non-Veg,lunch,"1. Gather all ingredients: fish, mushroom, beans, paneer. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Baingan Bharta,"tomato, capsicum, beetroot, spinach, carrot",Veg,"lunch, side dish","1. Gather all ingredients: tomato, capsicum, beetroot, spinach, carrot. 2. Prepare the ingredients for baingan bharta (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Dhokla,"potato, onion, cheese",Veg,"snack, side dish, breakfast","1. Gather all ingredients: potato, onion, cheese. 2. Prepare the ingredients for dhokla (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Fish Curry,"beef, beans, paneer, broccoli",Non-Veg,"main course, snack, dinner","1. Gather all ingredients: beef, beans, paneer, broccoli. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Butter Chicken,"beef, mutton, cheese, paneer",Non-Veg,"dinner, brunch, side dish","1. Gather all ingredients: beef, mutton, cheese, paneer. 2. Prepare the ingredients for butter chicken (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Chole Bhature,"cheese, carrot, beetroot, spinach, peas",Veg,"main course, brunch, dinner","1. Gather all ingredients: cheese, carrot, beetroot, spinach, peas. 2. Prepare the ingredients for chole bhature (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Vada Pav,"rice, cheese, tomato, beetroot, onion",Veg,"main course, side dish","1. Gather all ingredients: rice, cheese, tomato, beetroot, onion. 2. Prepare the ingredients for vada pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a snack.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Keema Pav,"anchovy, beetroot, capsicum, beans",Non-Veg,"supper, appetizer","1. Gather all ingredients: anchovy, beetroot, capsicum, beans. 2. Prepare the ingredients for keema pav (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Paneer Burger,"paneer, bun, mayo, tomato, onion",Veg,appetizer,"1. Gather all ingredients: paneer, bun, mayo, tomato, onion. 2. Prepare the ingredients for paneer burger (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Chicken Curry,"turkey, salami, capsicum, tomato",Non-Veg,side dish,"1. Gather all ingredients: turkey, salami, capsicum, tomato. 2. Prepare the ingredients for chicken curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
Aloo Paratha,"beans, cheese, cauliflower, onion, mushroom",Veg,"brunch, snack","1. Gather all ingredients: beans, cheese, cauliflower, onion, mushroom. 2. Prepare the ingredients for aloo paratha (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 250 kcal, Protein: 10g, Fat: 15g, Carbs: 25g"
Fish Curry,"bacon, carrot, beans",Non-Veg,"appetizer, breakfast, main course","1. Gather all ingredients: bacon, carrot, beans. 2. Prepare the ingredients for fish curry (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a side dish.","Calories: 150 kcal, Protein: 6g, Fat: 9g, Carbs: 15g"
Palak Paneer,"lentils, spinach, corn, rice",Veg,"snack, main course, dinner","1. Gather all ingredients: lentils, spinach, corn, rice. 2. Prepare the ingredients for palak paneer (chop, wash, boil as needed). 3. Heat oil/ghee in a pan and sauté the base ingredients. 4. Add main ingredients and spices, and cook on medium flame. 5. Stir occasionally and cook until properly done. 6. Garnish and serve hot as a main course.","Calories: 200 kcal, Protein: 8g, Fat: 12g, Carbs: 20g"
