Recipe_Name,Ingredients,Label
Pancakes Variant 18,"apple, baking powder, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 18,"bread, butter, cheese",Veg
Omelette Variant 18,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 18,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 18,"bread, butter, garlic, lentils, parmesan, parsley",Veg
Mashed Potatoes Variant 18,"butter, lentils, milk, pepper, potato, salt",Veg
Beef Steak Variant 18,"beef, butter, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 18,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 18,"bread, cheese, lettuce, patty, soy sauce, tomato",Veg
Fish Fry Variant 18,"fish, lemon, mango, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 18,"bell pepper, broccoli, butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 18,"garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 18,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 18,"beef, carrot, egg, milk, peas, rice, soy sauce",Veg
Mango Smoothie Variant 18,"ice, mango, milk, olive oil, sugar",Veg
Butter Naan Variant 18,"butter, flour, garlic, salt, yeast",Veg
Scrambled Eggs Variant 19,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 19,"cheese, garlic, lemon, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 19,"bell pepper, broccoli, carrot, garlic, milk, rice, soy sauce",Veg
Chicken Curry Variant 19,"caesar dressing, chicken, garlic, onion, spices, sugar, tomato",Non-Veg
Pancakes Variant 19,"baking powder, egg, flour, milk, onion, sugar",Veg
Grilled Cheese Sandwich Variant 19,"bread, butter, cheese, lettuce",Veg
Omelette Variant 19,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 19,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 19,"bread, butter, garlic, parsley",Veg
Mashed Potatoes Variant 19,"butter, milk, pepper, potato, salt",Veg
Beef Steak Variant 19,"beef, butter, garlic, peas, pepper, salt, soy sauce",Non-Veg
Caesar Salad Variant 19,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 19,"bread, cheese, chicken, lettuce, parmesan, patty, tomato",Veg
Fish Fry Variant 19,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 19,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 19,"garlic, lentils, onion, spices, tomato, yeast",Veg
Chicken Biryani Variant 19,"bell pepper, chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 19,"carrot, egg, lettuce, peas, rice, soy sauce",Veg
Mango Smoothie Variant 19,"chicken, croutons, ice, mango, milk, sugar",Veg
Butter Naan Variant 19,"butter, flour, salt, yeast",Veg
Scrambled Eggs Variant 20,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 20,"garlic, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 20,"bell pepper, broccoli, carrot, garlic, olive oil, soy sauce",Veg
Chicken Curry Variant 20,"chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 20,"baking powder, egg, flour, milk, oil, sugar",Veg
Grilled Cheese Sandwich Variant 20,"bread, butter, cheese",Veg
Omelette Variant 20,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 20,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 20,"bell pepper, bread, butter, garlic, parsley, salt",Veg
Mashed Potatoes Variant 20,"butter, milk, parsley, pepper, potato, salt",Veg
Beef Steak Variant 20,"banana, beef, butter, garlic, pepper, salt, sugar",Non-Veg
Caesar Salad Variant 20,"bell pepper, caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 20,"baking powder, bread, cheese, lettuce, patty, tomato",Veg
Fish Fry Variant 20,"apple, fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 20,"beef, butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 20,"garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 20,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 20,"baking powder, carrot, egg, peas, rice, soy sauce",Veg
Mango Smoothie Variant 20,"grapes, ice, mango, milk, sugar",Veg
Butter Naan Variant 20,"butter, flour, grapes, salt, yeast",Veg
Scrambled Eggs Variant 21,"butter, chicken, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 21,"garlic, olive oil, orange, parsley, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 21,"bell pepper, broccoli, caesar dressing, carrot, garlic, lentils, soy sauce",Veg
Chicken Curry Variant 21,"chicken, garlic, lemon, onion, salt, spices, tomato",Non-Veg
Pancakes Variant 21,"baking powder, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 21,"bread, butter, cheese",Veg
Omelette Variant 21,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 21,"apple, banana, grapes, honey, orange, salt",Veg
Garlic Bread Variant 21,"bread, butter, garlic, orange, parsley, pepper",Veg
Mashed Potatoes Variant 21,"butter, milk, pepper, potato, rice, salt",Veg
Beef Steak Variant 21,"beef, butter, garlic, pepper, salt, yogurt",Non-Veg
Caesar Salad Variant 21,"caesar dressing, chicken, croutons, lettuce, parmesan, parsley, salt",Non-Veg
Veggie Burger Variant 21,"bread, cheese, lettuce, mango, oil, patty, tomato",Veg
Fish Fry Variant 21,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 21,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 21,"garlic, lentils, onion, peas, spices, tomato",Veg
Chicken Biryani Variant 21,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 21,"carrot, egg, lettuce, peas, rice, soy sauce",Veg
Mango Smoothie Variant 21,"banana, ice, mango, milk, sugar",Veg
Butter Naan Variant 21,"butter, flour, salt, yeast",Veg
Scrambled Eggs Variant 22,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 22,"garlic, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 22,"bell pepper, broccoli, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 22,"caesar dressing, cheese, chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 22,"baking powder, egg, flour, milk, salt, sugar",Veg
Grilled Cheese Sandwich Variant 22,"bread, butter, cheese, onion",Veg
Omelette Variant 22,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 22,"apple, banana, grapes, honey, orange",Veg
Garlic Bread Variant 22,"bread, butter, chicken, garlic, oil, parsley",Veg
Mashed Potatoes Variant 22,"butter, mango, milk, parsley, pepper, potato, salt",Veg
Beef Steak Variant 22,"beef, butter, garlic, parmesan, pepper, salt, yogurt",Non-Veg
Caesar Salad Variant 22,"caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 22,"bread, cheese, lettuce, patty, tomato",Veg
Fish Fry Variant 22,"carrot, fish, lemon, oil, parsley, pepper, salt",Non-Veg
Chocolate Cake Variant 22,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 22,"garlic, lentils, onion, spices, tomato, yeast",Veg
Chicken Biryani Variant 22,"cheese, chicken, grapes, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 22,"carrot, egg, peas, potato, rice, soy sauce, tomato",Veg
Mango Smoothie Variant 22,"broccoli, ice, mango, milk, sugar",Veg
Butter Naan Variant 22,"butter, flour, salt, yeast",Veg
Scrambled Eggs Variant 23,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 23,"broccoli, garlic, olive oil, pasta, salt, tomato, yeast",Veg
Vegetable Stir Fry Variant 23,"bell pepper, broccoli, carrot, flour, garlic, soy sauce, sugar",Veg
Chicken Curry Variant 23,"cheese, chicken, garlic, onion, pepper, spices, tomato",Non-Veg
Pancakes Variant 23,"baking powder, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 23,"bread, butter, caesar dressing, cheese, onion",Veg
Omelette Variant 23,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 23,"apple, banana, grapes, honey, olive oil, orange",Veg
Garlic Bread Variant 23,"bread, butter, caesar dressing, garlic, parsley, sugar",Veg
Mashed Potatoes Variant 23,"butter, milk, pepper, potato, salt",Veg
Beef Steak Variant 23,"beef, butter, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 23,"apple, baking powder, caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 23,"bread, carrot, cheese, lettuce, patty, pepper, tomato",Veg
Fish Fry Variant 23,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 23,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 23,"bell pepper, garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 23,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 23,"carrot, croutons, egg, peas, rice, soy sauce",Veg
Mango Smoothie Variant 23,"ice, mango, milk, sugar",Veg
Butter Naan Variant 23,"butter, flour, salt, yeast",Veg
Scrambled Eggs Variant 24,"butter, chicken, eggs, milk, pepper, salt",Non-Veg
Tomato Pasta Variant 24,"apple, garlic, olive oil, pasta, salt, soy sauce, tomato",Veg
Vegetable Stir Fry Variant 24,"bell pepper, broccoli, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 24,"beef, chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 24,"baking powder, egg, flour, milk, onion, sugar",Veg
Grilled Cheese Sandwich Variant 24,"bread, butter, cheese, orange, yogurt",Veg
Omelette Variant 24,"eggs, onion, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 24,"apple, banana, carrot, grapes, honey, orange",Veg
Garlic Bread Variant 24,"bell pepper, bread, butter, garlic, parsley",Veg
Mashed Potatoes Variant 24,"butter, milk, pepper, potato, salt",Veg
Beef Steak Variant 24,"beef, butter, chicken, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 24,"caesar dressing, chicken, croutons, lettuce, parmesan, peas, potato",Non-Veg
Veggie Burger Variant 24,"bread, cheese, lemon, lettuce, patty, tomato",Veg
Fish Fry Variant 24,"apple, fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 24,"butter, carrot, cocoa powder, egg, flour, mango, sugar",Veg
Dal Tadka Variant 24,"baking powder, garlic, lentils, mango, onion, spices, tomato",Veg
Chicken Biryani Variant 24,"chicken, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 24,"carrot, chicken, egg, grapes, peas, rice, soy sauce",Veg
Mango Smoothie Variant 24,"broccoli, ice, mango, milk, sugar",Veg
Butter Naan Variant 24,"butter, flour, lettuce, salt, tomato, yeast",Veg
Scrambled Eggs Variant 25,"butter, eggs, pepper, salt",Non-Veg
Tomato Pasta Variant 25,"garlic, olive oil, pasta, salt, tomato",Veg
Vegetable Stir Fry Variant 25,"bell pepper, broccoli, carrot, garlic, soy sauce",Veg
Chicken Curry Variant 25,"baking powder, chicken, garlic, onion, spices, tomato",Non-Veg
Pancakes Variant 25,"baking powder, bell pepper, chicken, egg, flour, milk, sugar",Veg
Grilled Cheese Sandwich Variant 25,"bread, butter, cheese",Veg
Omelette Variant 25,"eggs, onion, parmesan, pepper, salt, tomato",Non-Veg
Fruit Salad Variant 25,"apple, banana, grapes, honey, orange, tomato",Veg
Garlic Bread Variant 25,"bread, butter, garlic, parsley",Veg
Mashed Potatoes Variant 25,"butter, milk, pepper, potato, salt, soy sauce",Veg
Beef Steak Variant 25,"beef, butter, garlic, pepper, salt",Non-Veg
Caesar Salad Variant 25,"bell pepper, caesar dressing, chicken, croutons, lettuce, parmesan",Non-Veg
Veggie Burger Variant 25,"bread, cheese, lettuce, patty, sugar, tomato",Veg
Fish Fry Variant 25,"fish, lemon, oil, pepper, salt",Non-Veg
Chocolate Cake Variant 25,"butter, cocoa powder, egg, flour, sugar",Veg
Dal Tadka Variant 25,"garlic, lentils, onion, spices, tomato",Veg
Chicken Biryani Variant 25,"chicken, mango, onion, rice, spices, yogurt",Non-Veg
Veg Fried Rice Variant 25,"carrot, egg, peas, rice, soy sauce",Veg
Mango Smoothie Variant 25,"carrot, ice, mango, milk, pepper, sugar",Veg
Butter Naan Variant 25,"butter, flour, pepper, salt, yeast",Veg
